ID,NAME,MONTH,YEAR,RAIN,TMEAN
6,Pongola - SASRI,12,2004,103.5,25.9
6,Pongola - SASRI,1,2005,144.1,26.4
6,Pongola - SASRI,2,2005,81.7,26
6,Pongola - SASRI,3,2005,95.4,23.6
6,Pongola - SASRI,4,2005,29.4,22.1
6,Pongola - SASRI,5,2005,2.7,20.1
6,Pongola - SASRI,6,2005,4.6,18
6,Pongola - SASRI,7,2005,0.1,17.1
6,Pongola - SASRI,8,2005,22.1,20.4
6,Pongola - SASRI,9,2005,6.6,21.9
6,Pongola - SASRI,10,2005,14.8,22.4
6,Pongola - SASRI,11,2005,89.9,23.4
6,Pongola - SASRI,12,2005,36.3,23.8
6,Pongola - SASRI,1,2006,77.6,25.4
6,Pongola - SASRI,2,2006,72.2,26.6
6,Pongola - SASRI,3,2006,80.8,23.7
6,Pongola - SASRI,4,2006,93.1,21.6
6,Pongola - SASRI,5,2006,2.6,18.1
6,Pongola - SASRI,6,2006,5.6,16.5
6,Pongola - SASRI,7,2006,0.6,17.7
6,Pongola - SASRI,8,2006,107.6,17.8
6,Pongola - SASRI,9,2006,14.1,20
6,Pongola - SASRI,10,2006,75.8,23
6,Pongola - SASRI,11,2006,94.8,23
6,Pongola - SASRI,12,2006,219,25.3
6,Pongola - SASRI,1,2007,93.5,25.7
6,Pongola - SASRI,2,2007,81.7,26.3
6,Pongola - SASRI,3,2007,13,25
6,Pongola - SASRI,4,2007,57.9,22.1
6,Pongola - SASRI,5,2007,0,18.6
6,Pongola - SASRI,6,2007,29.2,16.3
6,Pongola - SASRI,7,2007,0,16.5
6,Pongola - SASRI,8,2007,0.3,18.8
6,Pongola - SASRI,9,2007,21.3,21.6
6,Pongola - SASRI,10,2007,193.4,21.2
6,Pongola - SASRI,11,2007,153.3,23
6,Pongola - SASRI,12,2007,92.6,23.7
6,Pongola - SASRI,1,2008,48.2,25.2
6,Pongola - SASRI,2,2008,12.8,25.7
6,Pongola - SASRI,3,2008,50.2,24.5
6,Pongola - SASRI,4,2008,59.3,20.9
6,Pongola - SASRI,5,2008,18.3,19.4
6,Pongola - SASRI,6,2008,10.8,16.9
6,Pongola - SASRI,7,2008,0.1,17.7
6,Pongola - SASRI,8,2008,0,19.4
6,Pongola - SASRI,9,2008,12.1,20.2
6,Pongola - SASRI,10,2008,18.2,22.3
6,Pongola - SASRI,11,2008,134.9,23.8
6,Pongola - SASRI,12,2008,51.1,25.8
6,Pongola - SASRI,1,2009,121,25.8
6,Pongola - SASRI,2,2009,266.9,24.9
